//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//


💝中国港澳👉天天,#genre#
凤凰卫视资讯台,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
凤凰卫视资讯台,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视资讯台,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰卫视资讯台,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
TVB星河,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫影院频道,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线财经体育,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
凤凰卫视香港台,http://43.141.130.33/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
凤凰卫视香港台,http://103.95.24.37:880/fhxgt.m3u8 
凤凰卫视香港台,http://hikvision.city:880/fhxgt.m3u8
TVB无线新闻台,http://live.cooltv.top/tv/tvb.php?id=2&hq
TVB亚洲武侠,https://ali.hlspull.yximgs.com/live/12344.flv
TVB亚洲武侠,https://s2.pub/cctv-20
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB亚洲武侠(粤),http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
无线娱乐,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
香港電台(34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
凤凰卫视资讯台,http://wouu.net:9977/rtp/239.93.0.118:2191?Cf=cfss.cc
无线星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
无线娱乐,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB无线新闻台,http://nz189l149.bb27109.ctm.net:8892/bysid/83
TVB无线新闻台,http://zsntlqj.xicp.net:8896/bysid/83
TVB财经体育资讯台,http://nz189l149.bb27109.ctm.net:8892/bysid/85
TVB明珠台,http://nz189l149.bb27109.ctm.net:8892/bysid/2
澳门澳视,http://nz189l149.bb27109.ctm.net:8891/bysid/91
澳门澳视,http://nz189l149.bb27109.ctm.net:8891/bysid/96
澳门资讯,http://nz189l149.bb27109.ctm.net:8891/bysid/94
澳门娱乐,http://nz189l149.bb27109.ctm.net:8891/bysid/92
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/master.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8
星空缓冲10秒,http://wouu.net:9977/udp/239.93.0.156:2193
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
